category,level,genre,ntwk,metric_share,client_metric,prog_metric,client_share,affinity_denom,Genre Share,Client Genre Share,Affinity,Overall Share
&TV,Hindi GEC,Hindi GEC,Zee Network,24252.32354,294.578539,1058.380981,5425.3185285,1670.3386475,4.36403950844,5.42970034759,63.3632576594,2.63948038752
&TV HD,Hindi GEC,Hindi GEC,Zee Network,24252.32354,,4.5130505,5425.3185285,,0.0186087345097,,,
&pictures,Hindi Movies,Hindi Movies,Zee Network,10244.0330855,135.153341,891.863891,745.0048915,1342.789132,8.70617932953,18.1412689423,66.4187600083,1.2109999394
&pictures HD,Hindi Movies,Hindi Movies,Zee Network,10244.0330855,,0.359151,745.0048915,,0.00350595314367,,,
24 Ghanta,Bengali News,Bengali News,Zee Network,407.4867615,,99.1493175,17.2091205,1533.2136575,24.3319113325,,6.46676456442,
9X Jalwa,Hindi Music,Hindi Music,9X Media,1844.2041725,45.4175215,279.998374,279.5362545,304.448889,15.1826125423,16.2474529757,91.9689261865,0.406949731152
9X Jhakaas,Marathi Music,Marathi Music,9X Media,82.848966,7.5647895,68.527922,21.8858335,,82.7142755167,34.5647767996,,0.0677819694156
9X M,Hindi Music,Hindi Music,9X Media,1844.2041725,25.148556,206.308133,279.5362545,375.4230135,11.186837991,8.99652749694,54.9535125928,0.225335900442
9X Tashan,Hindi Music,Hindi Music,9X Media,1844.2041725,7.959108,74.6915395,279.5362545,,4.05006889225,2.84725429059,,0.071315139044
9XO,English Music,English Music,9X Media,12.431664,,0.769013,1.411815,,6.18592169158,,,
ABP Ananda,Bengali News,Bengali News,ABP,407.4867615,,161.480369,17.2091205,2486.7602045,39.6283718287,,6.4936043575,
ABP Majha,Marathi News,Marathi News,ABP,254.1373295,,83.053101,31.0891035,663.13853,32.6804020344,,12.5242460274,
ABP News,Hindi News,Hindi News,ABP,3967.655552,,465.2682425,22.033993,854.87,11.7265280819,,54.4256135436,
AXN,English GEC,English GEC,Sony Network,27.754196,0.277227,5.99314,1.8088205,7.8683965,21.5936357875,15.3263964003,76.1672343279,0.00248400725958
AXN HD,English GEC,English GEC,Sony Network,27.754196,,0.018512,1.8088205,,0.0666998244157,,,
Aaj Tak,Hindi News,Hindi News,TV Today Group,3967.655552,8.357959,506.439476,22.033993,1024.24,12.7641996479,37.932112441,49.4453913145,0.0748889207445
Aakaash (Bangla),Bengali GEC,Bengali GEC,OTHERS,2109.26117,,0.0,319.2389145,0.0,0.0,,,
Aapla Talkies,Marathi Movies,Marathi Movies,OTHERS,321.3332515,11.140202,11.140202,40.2901775,,3.46686872522,27.6499203807,,0.0998183533391
Adithya,Tamil Music,Tamil Music,Sun Network,527.3281735,32.772379,189.5008375,53.6809815,,35.936035096,61.0502604167,,0.293646821376
Animal Planet,English INFO,English INFO,Discovery Network,826.2188965,4.1990405,148.8274655,15.523901,180.3044445,18.0130793583,27.0488745065,82.5423166427,0.0376242107921
Animal Planet HD World,English INFO,English INFO,Discovery Network,826.2188965,,0.0,15.523901,,0.0,,,
Asianet,Malayalam GEC,Malayalam GEC,Star Network,2705.6142805,92.420774,1535.872278,196.830327,1535.872278,56.7661210642,46.9545396833,100.0,0.828107917164
Asianet Movies,Malayalam Movies,Malayalam Movies,Star Network,441.656688,0.7958415,246.6634695,26.3013165,,55.8495945385,3.02586184232,,0.00713089296307
Asianet Plus,Malayalam GEC,Malayalam GEC,Star Network,2705.6142805,32.6446945,135.071852,196.830327,135.071852,4.99228042125,16.5851954816,100.0,0.292502743689
B4U Movies,Hindi Movies,Hindi Movies,OTHERS,10244.0330855,79.140731,429.3174005,745.0048915,555.0859535,4.19090212729,10.6228471656,77.3425084517,0.709116176751
B4U Music,Hindi Music,Hindi Music,OTHERS,1844.2041725,80.82614,253.0175495,279.5362545,380.274156,13.7196061734,28.914367528,66.5355627007,0.724217765671
BIG MAGIC,Hindi GEC,Hindi GEC,Reliance,24252.32354,13.3818755,48.5268755,5425.3185285,66.246416,0.200091654806,0.246656033737,73.2520767614,0.119904179206
BIG MAGIC GANGA,Bhojpuri GEC,Bhojpuri GEC,Reliance,308.924414,0.202749,59.6016675,70.1923025,,19.2932849587,0.288847911778,,0.00181667004971
BINDASS,Hindi Youth,Hindi Youth,Disney UTV,360.9866625,0.300034,136.992559,29.1549745,298.204636,37.9494793662,1.02910053994,45.9391110875,0.00268836236773
Bindass Play,Hindi Music,Hindi Music,Disney UTV,1844.2041725,1.161693,127.1682345,279.5362545,,6.89556158674,0.415578652607,,0.0104089927944
CNBC AWAAZ,Hindi News,Hindi News,Viacom,3967.655552,,22.9690475,22.033993,53.165,0.578907296739,,43.2033245556,
CNBC BAJAR,Gujarati News,Gujarati News,Viacom,70.427211,,0.1813095,15.892159,,0.257442396803,,,
Captain TV,Tamil GEC,Tamil GEC,OTHERS,7032.552157,0.0,0.0,836.1146285,0.0,0.0,0.0,,0.0
Cartoon Network,Hindi Kids,Hindi Kids,Turner Group,2720.1450925,25.752571,412.3682875,274.8492215,512.275,15.159790139,9.36970854764,80.4974452199,0.230747991057
Channel V,Hindi Youth,Hindi Youth,Star Network,360.9866625,22.5817005,73.7159785,29.1549745,157.160346,20.4206931052,77.4540224688,46.9049479568,0.202336381289
Chintu TV,Kannada Kids,Kannada Kids,Sun Network,62.584831,31.1924175,62.584831,31.1924175,,100.0,100.0,,0.279490062345
Chutti TV,Tamil Kids,Tamil Kids,OTHERS,225.00511,50.3888315,225.00511,50.3888315,,100.0,100.0,,0.451493625251
Colors,Hindi GEC,Hindi GEC,Viacom,24252.32354,803.8126195,4401.9530795,5425.3185285,6504.233458,18.1506447093,14.8159525616,67.6782761247,7.20231572746
Colors Bangla,Bengali GEC,Bengali GEC,Viacom,2109.26117,40.5354235,140.425198,319.2389145,2103.5145115,6.6575538391,12.697519525,6.67574182314,0.363205193737
Colors Gujarati,Gujarati GEC,Gujarati GEC,Viacom,42.894304,10.373473,39.652511,10.373473,,92.4423695044,100.0,,0.0929483139774
